Columnnr	Columnchar	shortname	fullquestion
79.0	"CA"	"crop_sold_income_1"	"How much money did you make from selling   crop_label  during the last 12 months "
80.0	"CB"	"crop_sold_price_quantityunits_1"	"sale price units "
81.0	"CC"	"crop_price_quantityunits_other_1"	"Specify the crop sale price  other  units "
82.0	"CD"	"crop_who_control_revenue_1"	"Who usually decides what do to with the income from selling the   crop_label  "
83.0	"CE"	"crop_consume_control_1"	"Who usually decides when to eat the   crop_label  "
84.0	"CF"	"crop_residue_use_1"	"What did you do with the crop residues from the   crop_label  during the last 12 months "
85.0	"CG"	"crop_name_2"	"I m going to ask you about each of these most important crops now  Define crop number   crop_rep_number   1"
86.0	"CH"	"crop_label_2"	"Crop name in local language"
87.0	"CI"	"crop_harvest_2"	"During the 12 months  was the   crop_label  harvest good or bad "
88.0	"CJ"	"crop_yield_2"	"About how much   crop_label  did you harvest during the last 12 months "
89.0	"CK"	"crop_yield_units_2"	"Crop yield Units "
90.0	"CL"	"crop_intercrop_2"	"Did you grow   crop_label  intercropped with other plants "
91.0	"CM"	"crop_land_area_2"	"About how much of your land did you use for growing   crop_label  during the last 12 months "
92.0	"CN"	"crop_yield_units_other_2"	"Specify the crop yield  other  units"
93.0	"CO"	"crop_use_2"	"What did you do with the main harvest of   crop_label  during the last 12 months  Did you eat it  use at home  sell it"
94.0	"CP"	"crop_consumed_prop_2"	"About how much of the   crop_label  was consumed or used by the household during the last 12 months"
95.0	"CQ"	"crop_sold_prop_2"	"About how much of the   crop_label  was sold during the last 12 months"
96.0	"CR"	"crop_feed_lstk_prop_2"	"About how much of the   crop_label  was fed to livestock during the last 12 months"
97.0	"CS"	"crop_sold_income_2"	"How much money did you make from selling   crop_label  during the last 12 months"
98.0	"CT"	"crop_sold_price_quantityunits_2"	"sale price units"
99.0	"CU"	"crop_price_quantityunits_other_2"	"Specify the crop sale price  other  units"
100.0	"CV"	"crop_who_control_revenue_2"	"Who usually decides what do to with the income from selling the   crop_label"
101.0	"CW"	"crop_consume_control_2"	"Who usually decides when to eat the   crop_label"
102.0	"CX"	"crop_residue_use_2"	"What did you do with the crop residues from the   crop_label  during the last 12 months"
103.0	"CY"	"crop_name_3"	"I m going to ask you about each of these most important crops now  Define crop number   crop_rep_number"
104.0	"CZ"	"crop_label_3"	"Crop name in local language"
105.0	"DA"	"crop_harvest_3"	"During the 12 months  was the   crop_label  harvest good or bad"
106.0	"DB"	"crop_yield_3"	"About how much   crop_label  did you harvest during the last 12 months"
107.0	"DC"	"crop_yield_units_3"	"Crop yield Units"
108.0	"DD"	"crop_intercrop_3"	"Did you grow   crop_label  intercropped with other plants"
109.0	"DE"	"crop_land_area_3"	"About how much of your land did you use for growing   crop_label  during the last 12 months"
110.0	"DF"	"crop_yield_units_other_3"	"Specify the crop yield  other  units"
111.0	"DG"	"crop_use_3"	"What did you do with the main harvest of   crop_label  during the last 12 months  Did you eat it  use at home  sell it"
112.0	"DH"	"crop_consumed_prop_3"	"About how much of the   crop_label  was consumed or used by the household during the last 12 months"
113.0	"DI"	"crop_sold_prop_3"	"About how much of the   crop_label  was sold during the last 12 months"
114.0	"DJ"	"crop_feed_lstk_prop_3"	"About how much of the   crop_label  was fed to livestock during the last 12 months"
115.0	"DK"	"crop_sold_income_3"	"How much money did you make from selling   crop_label  during the last 12 months"
116.0	"DL"	"crop_sold_price_quantityunits_3"	"sale price units"
117.0	"DM"	"crop_price_quantityunits_other_3"	"Specify the crop sale price  other  units"
118.0	"DN"	"crop_who_control_revenue_3"	"Who usually decides what do to with the income from selling the   crop_label"
119.0	"DO"	"crop_consume_control_3"	"Who usually decides when to eat the   crop_label"
120.0	"DP"	"crop_residue_use_3"	"What did you do with the crop residues from the   crop_label  during the last 12 months"
121.0	"DQ"	"crop_name_4"	"I m going to ask you about each of these most important crops now  Define crop number   crop_rep_number"
122.0	"DR"	"crop_label_4"	"Crop name in local language"
123.0	"DS"	"crop_harvest_4"	"During the 12 months  was the   crop_label  harvest good or bad"
124.0	"DT"	"crop_yield_4"	"About how much   crop_label  did you harvest during the last 12 months"
125.0	"DU"	"crop_yield_units_4"	"Crop yield Units"
126.0	"DV"	"crop_intercrop_4"	"Did you grow   crop_label  intercropped with other plants"
127.0	"DW"	"crop_land_area_4"	"About how much of your land did you use for growing   crop_label  during the last 12 months"
128.0	"DX"	"crop_yield_units_other_4"	"Specify the crop yield  other  units"
129.0	"DY"	"crop_use_4"	"What did you do with the main harvest of   crop_label  during the last 12 months  Did you eat it  use at home  sell it"
130.0	"DZ"	"crop_consumed_prop_4"	"About how much of the   crop_label  was consumed or used by the household during the last 12 months"
131.0	"EA"	"crop_sold_prop_4"	"About how much of the   crop_label  was sold during the last 12 months"
132.0	"EB"	"crop_feed_lstk_prop_4"	"About how much of the   crop_label  was fed to livestock during the last 12 months"
133.0	"EC"	"crop_sold_income_4"	"How much money did you make from selling   crop_label  during the last 12 months"
134.0	"ED"	"crop_sold_price_quantityunits_4"	"sale price units"
135.0	"EE"	"crop_price_quantityunits_other_4"	"Specify the crop sale price  other  units"
136.0	"EF"	"crop_who_control_revenue_4"	"Who usually decides what do to with the income from selling the   crop_label"
137.0	"EG"	"crop_consume_control_4"	"Who usually decides when to eat the   crop_label"
138.0	"EH"	"crop_residue_use_4"	"What did you do with the crop residues from the   crop_label  during the last 12 months"
139.0	"EI"	"crop_name_5"	"I m going to ask you about each of these most important crops now  Define crop number   crop_rep_number"
140.0	"EJ"	"crop_label_5"	"Crop name in local language"
141.0	"EK"	"crop_harvest_5"	"During the 12 months  was the   crop_label  harvest good or bad"
142.0	"EL"	"crop_yield_5"	"About how much   crop_label  did you harvest during the last 12 months"
143.0	"EM"	"crop_yield_units_5"	"Crop yield Units"
144.0	"EN"	"crop_intercrop_5"	"Did you grow   crop_label  intercropped with other plants"
145.0	"EO"	"crop_land_area_5"	"About how much of your land did you use for growing   crop_label  during the last 12 months"
146.0	"EP"	"crop_yield_units_other_5"	"Specify the crop yield  other  units"
147.0	"EQ"	"crop_use_5"	"What did you do with the main harvest of   crop_label  during the last 12 months  Did you eat it  use at home  sell it"
148.0	"ER"	"crop_consumed_prop_5"	"About how much of the   crop_label  was consumed or used by the household during the last 12 months"
149.0	"ES"	"crop_sold_prop_5"	"About how much of the   crop_label  was sold during the last 12 months"
150.0	"ET"	"crop_feed_lstk_prop_5"	"About how much of the   crop_label  was fed to livestock during the last 12 months"
151.0	"EU"	"crop_sold_income_5"	"How much money did you make from selling   crop_label  during the last 12 months"
152.0	"EV"	"crop_sold_price_quantityunits_5"	"sale price units"
153.0	"EW"	"crop_price_quantityunits_other_5"	"Specify the crop sale price  other  units"
154.0	"EX"	"crop_who_control_revenue_5"	"Who usually decides what do to with the income from selling the   crop_label"
155.0	"EY"	"crop_consume_control_5"	"Who usually decides when to eat the   crop_label"
156.0	"EZ"	"crop_residue_use_5"	"What did you do with the crop residues from the   crop_label  during the last 12 months"
157.0	"FA"	"crop_name_6"	"I m going to ask you about each of these most important crops now  Define crop number   crop_rep_number"
158.0	"FB"	"crop_label_6"	"Crop name in local language"
159.0	"FC"	"crop_harvest_6"	"During the 12 months  was the   crop_label  harvest good or bad"
160.0	"FD"	"crop_yield_6"	"About how much   crop_label  did you harvest during the last 12 months"
161.0	"FE"	"crop_yield_units_6"	"Crop yield Units"
162.0	"FF"	"crop_intercrop_6"	"Did you grow   crop_label  intercropped with other plants"
163.0	"FG"	"crop_land_area_6"	"About how much of your land did you use for growing   crop_label  during the last 12 months"
164.0	"FH"	"crop_yield_units_other_6"	"Specify the crop yield  other  units"
165.0	"FI"	"crop_use_6"	"What did you do with the main harvest of   crop_label  during the last 12 months  Did you eat it  use at home  sell it"
166.0	"FJ"	"crop_consumed_prop_6"	"About how much of the   crop_label  was consumed or used by the household during the last 12 months"
167.0	"FK"	"crop_sold_prop_6"	"About how much of the   crop_label  was sold during the last 12 months"
168.0	"FL"	"crop_feed_lstk_prop_6"	"About how much of the   crop_label  was fed to livestock during the last 12 months"
169.0	"FM"	"crop_sold_income_6"	"How much money did you make from selling   crop_label  during the last 12 months"
170.0	"FN"	"crop_sold_price_quantityunits_6"	"sale price units"
171.0	"FO"	"crop_price_quantityunits_other_6"	"Specify the crop sale price  other  units"
172.0	"FP"	"crop_who_control_revenue_6"	"Who usually decides what do to with the income from selling the   crop_label"
173.0	"FQ"	"crop_consume_control_6"	"Who usually decides when to eat the   crop_label"
174.0	"FR"	"crop_residue_use_6"	"What did you do with the crop residues from the   crop_label  during the last 12 months"
175.0	"FS"	"crop_name_7"	"I m going to ask you about each of these most important crops now  Define crop number   crop_rep_number"
176.0	"FT"	"crop_label_7"	"Crop name in local language"
177.0	"FU"	"crop_harvest_7"	"During the 12 months  was the   crop_label  harvest good or bad"
178.0	"FV"	"crop_yield_7"	"About how much   crop_label  did you harvest during the last 12 months"
179.0	"FW"	"crop_yield_units_7"	"Crop yield Units"
180.0	"FX"	"crop_intercrop_7"	"Did you grow   crop_label  intercropped with other plants"
181.0	"FY"	"crop_land_area_7"	"About how much of your land did you use for growing   crop_label  during the last 12 months"
182.0	"FZ"	"crop_yield_units_other_7"	"Specify the crop yield  other  units"
183.0	"GA"	"crop_use_7"	"What did you do with the main harvest of   crop_label  during the last 12 months  Did you eat it  use at home  sell it"
184.0	"GB"	"crop_consumed_prop_7"	"About how much of the   crop_label  was consumed or used by the household during the last 12 months"
185.0	"GC"	"crop_sold_prop_7"	"About how much of the   crop_label  was sold during the last 12 months"
186.0	"GD"	"crop_feed_lstk_prop_7"	"About how much of the   crop_label  was fed to livestock during the last 12 months"
187.0	"GE"	"crop_sold_income_7"	"How much money did you make from selling   crop_label  during the last 12 months"
188.0	"GF"	"crop_sold_price_quantityunits_7"	"sale price units"
189.0	"GG"	"crop_price_quantityunits_other_7"	"Specify the crop sale price  other  units"
190.0	"GH"	"crop_who_control_revenue_7"	"Who usually decides what do to with the income from selling the   crop_label"
191.0	"GI"	"crop_consume_control_7"	"Who usually decides when to eat the   crop_label"
192.0	"GJ"	"crop_residue_use_7"	"What did you do with the crop residues from the   crop_label  during the last 12 months"
193.0	"GK"	"crop_name_8"	"I m going to ask you about each of these most important crops now  Define crop number   crop_rep_number"
194.0	"GL"	"crop_label_8"	"Crop name in local language"
195.0	"GM"	"crop_harvest_8"	"During the 12 months  was the   crop_label  harvest good or bad"
196.0	"GN"	"crop_yield_8"	"About how much   crop_label  did you harvest during the last 12 months"
197.0	"GO"	"crop_yield_units_8"	"Crop yield Units"
198.0	"GP"	"crop_intercrop_8"	"Did you grow   crop_label  intercropped with other plants"
199.0	"GQ"	"crop_land_area_8"	"About how much of your land did you use for growing   crop_label  during the last 12 months"
200.0	"GR"	"crop_yield_units_other_8"	"Specify the crop yield  other  units"
201.0	"GS"	"crop_use_8"	"What did you do with the main harvest of   crop_label  during the last 12 months  Did you eat it  use at home  sell it"
202.0	"GT"	"crop_consumed_prop_8"	"About how much of the   crop_label  was consumed or used by the household during the last 12 months"
203.0	"GU"	"crop_sold_prop_8"	"About how much of the   crop_label  was sold during the last 12 months"
204.0	"GV"	"crop_feed_lstk_prop_8"	"About how much of the   crop_label  was fed to livestock during the last 12 months"
205.0	"GW"	"crop_sold_income_8"	"How much money did you make from selling   crop_label  during the last 12 months"
206.0	"GX"	"crop_sold_price_quantityunits_8"	"sale price units"
207.0	"GY"	"crop_price_quantityunits_other_8"	"Specify the crop sale price  other  units"
208.0	"GZ"	"crop_who_control_revenue_8"	"Who usually decides what do to with the income from selling the   crop_label"
209.0	"HA"	"crop_consume_control_8"	"Who usually decides when to eat the   crop_label"
210.0	"HB"	"crop_residue_use_8"	"What did you do with the crop residues from the   crop_label  during the last 12 months"
211.0	"HC"	"crop_products_yn"	"Did you make any of your crops into products you can store or sell during the last 12 months "
212.0	"HD"	"crop_products_name"	"What products did you make "
213.0	"HE"	"crop_products_other"	"Define  other  crop products "
214.0	"HF"	"crop_product_consume"	"Which products did you eat or use at home "
215.0	"HG"	"crop_products_consume_control"	"Who decides when to eat or use these things "
216.0	"HH"	"crop_product_sell"	"Which products did you sell "
217.0	"HI"	"crop_product_sold_income"	"How much money did you make from selling these things during the last 12 months "
218.0	"HJ"	"crop_products_who_control_revenue"	"Who usually decides what do to with the income from selling these things "
219.0	"HK"	"Agric_Inputs"	"Did you use any crop inputs during the last 12 months  What did you use "
220.0	"HL"	"Agric_Inputs_other"	"Define  other  agricultural input "
221.0	"HM"	"fertiliser_crops"	"On which crops did you use fertilisers on during the last 12 months "
222.0	"HN"	"fertiliser_amount"	"How much fertiliser in total was used during the last 12 months "
223.0	"HO"	"fertiliser_units"	"Fertiliser amount units "
224.0	"HP"	"fertiliser_type"	"What types of fertiliser does your household normally use "
225.0	"HQ"	"fertiliser_units_other"	"Specify other fertiliser amount units "
226.0	"HR"	"fertiliser_type_other"	"Specify other fertiliser type "
227.0	"HS"	"manure_compost_crops"	"On which crops did you use manures or compost during the last 12 months "
228.0	"HT"	"pesticides_crops"	"On which crops did you use pesticides during the last 12 months "
229.0	"HU"	"improvedseeds_crops"	"For which crops did you use improved seed varieties during the last 12 months "
230.0	"HV"	"Crop_Storage"	"How did you store your crops after the harvest during the last 12 months "
231.0	"HW"	"Crop_Storage_other"	"Define  other   1"
232.0	"HX"	"Crop_Storage_crops"	"Which crops did you store during the last 12 months "
233.0	"HY"	"Crop_Storage_Treatment_yn"	"Did you add anything to help preserve the crops in the storage "
234.0	"HZ"	"Crop_Storage_Treatment"	"What did you add to help preserve the crops "
235.0	"IA"	"Crop_Storage_Treatment_other"	"Define  other  substance added during crop storage "
236.0	"IB"	"land_irrigated"	"Did you grow any crops under irrigation during the last 12 months "
237.0	"IC"	"Irrigation_crops"	"Which crops did you irrigate during the last 12 months "
238.0	"ID"	"Irrigation_method"	"What type of irrigation method did you use "
239.0	"IE"	"Irrigation_method_other"	"Define  other  irrigation method "
240.0	"IF"	"Irrigation_months"	"Which months did you irrigate "
241.0	"IG"	"manage_trees"	"Does your household make use of any trees on your land "
242.0	"IH"	"tree_uses"	"What does your household use the trees for "
243.0	"II"	"tree_uses_other"	"Define  other  tree use "
244.0	"IJ"	"till_land"	"Did your household till or plough your land "
245.0	"IK"	"tillage_power"	"Did you do the tillage by hand  Or use animals  or machines "
246.0	"IL"	"use_legumes_fertility"	"Does your household use legumes  peas  beans  to improve your soil fertility "
247.0	"IM"	"agroforestry"	"Does your household grow trees and crops mixed together "
248.0	"IN"	"livestock_owners"	"Does your household own any livestock or animals "
249.0	"IO"	"livestock_all"	"Which livestock does your household keep "
250.0	"IP"	"livestock_otherpoultry"	"Specify other poultry "
251.0	"IQ"	"livestock_other1"	"Specify other livestock  1 "
252.0	"IR"	"livestock_other2"	"Specify other livestock  2 "
253.0	"IS"	"livestock_other3"	"Specify other livestock  3 "
254.0	"IT"	"livestock_heads_cattle"	"How many head of cattle does your household own "
255.0	"IU"	"livestock_heads_sheep"	"How many head of sheep does your household own "
256.0	"IV"	"livestock_heads_goats"	"How many head of goats does your household own "
257.0	"IW"	"livestock_heads_pigs"	"How many head of pigs does your household own "
258.0	"IX"	"livestock_heads_chicken"	"How many head of chicken does your household own "
259.0	"IY"	"livestock_heads_otherpoultry"	"How many head of   livestock_otherpoultry  does your household own "
260.0	"IZ"	"livestock_heads_rabbits"	"How many head of rabbit does your household own "
261.0	"JA"	"livestock_heads_donkeys"	"How many head of donkeys  or similar  does your household own "
262.0	"JB"	"livestock_heads_fish"	"How many fish does your household own "
263.0	"JC"	"livestock_heads_beehives"	"How many bee hives does your household own "
264.0	"JD"	"livestock_heads_other_lstk"	"How many head of   livestock_other1  does your household own "
265.0	"JE"	"livestock_heads_other2_lstk"	"How many head of   livestock_other2  does your household own "
266.0	"JF"	"livestock_heads_other3_lstk"	"How many head of   livestock_other3  does your household own "
267.0	"JG"	"pastureland_use"	"Does your household use any grazing land for your animals "
268.0	"JH"	"pastureland_own"	"Does your household own any of the grazing land "
269.0	"JI"	"livestock_stabled"	"Does your household keep any of your livestock in stables or pens "
270.0	"JJ"	"livestock"	"What are the MOST IMPORTANT livestock your household owns "
271.0	"JK"	"livestock_count"	"livestock_count"
272.0	"JL"	"livestock_name_1"	"I m going to ask you about each of your most important livestock in turn  Define livestock number   livestock_rep_number"
273.0	"JM"	"livestock_label_1"	"Livestock name in local language"
274.0	"JN"	"animals_draught_1"	"How many   livestock_label  does your household use for draught power"
275.0	"JO"	"livestock_breeds_1"	"Are they local breeds"
276.0	"JP"	"beehive_count_1"	"How many bee hives does your household have at the moment"
277.0	"JQ"	"livestock_housing_1"	"How much time are the   livestock_label  kept inside a pen or stable"
278.0	"JR"	"livestock_bought_1"	"How many   livestock_label  did you buy  or receive  in the last 12 months"
279.0	"JS"	"livestock_sold_1"	"How many live   livestock_label  have you sold in the last 12 months"
280.0	"JT"	"livestock_sale_income_1"	"How much money did you make from selling live   livestock_label  in the last 12 months"
281.0	"JU"	"livestock_ownership_1"	"Who in the household owns the   livestock_label"
282.0	"JV"	"livestock_who_sells_1"	"Who usually decides what do to with the income from selling the live   livestock_label"
283.0	"JW"	"livestock_died_1"	"Did any of the   livestock_label  die during the last 12 months  How many"
284.0	"JX"	"mortality_meat_use_1"	"What did you do with the meat from the   livestock_label  that died  Eat it  sell it  dispose of it"
285.0	"JY"	"killed_for_meat_1"	"How many   livestock_label  have you slaughtered for meat in the last 12 months"
286.0	"JZ"	"meat_use_1"	"What did you do with the meat  Eat it  sell it"
287.0	"KA"	"meat_consumed_amount_1"	"About how much did you eat"
288.0	"KB"	"meat_sell_amount_1"	"About how much did you sell"
289.0	"KC"	"meat_sold_income_1"	"How much money did you make from selling the   livestock_label  meat in the last 12 months"
290.0	"KD"	"livestock_meat_who_sells_1"	"Who usually decides what do to with the income from selling the   livestock_label  meat"
291.0	"KE"	"livestock_meat_who_control_eating_1"	"Who usually decides when to eat   livestock_label  meat"
292.0	"KF"	"milk_harvest_1"	"Does your household collect milk from the   livestock_label"
293.0	"KG"	"milk_amount_good_season_1"	"About how much milk do the   livestock_label  produce  during the good season"
294.0	"KH"	"milk_units_1"	"Unit milk production"
295.0	"KI"	"milk_amount_bad_season_1"	"About how much milk do the   livestock_label  produce  during the bad season"
296.0	"KJ"	"milk_number_animals_milked_1"	"How many   livestock_label  did you milk per day"
297.0	"KK"	"milk_amount_units_other_1"	"Define milk production  other  units"
298.0	"KL"	"milk_use_1"	"What does your household do with the   livestock_label  milk  Drink it at home  sell it  make dairy products"
299.0	"KM"	"milk_consumed_amount_1"	"About how much of the   livestock_label  milk does the household consume"
300.0	"KN"	"milk_sell_amount_1"	"About how much   livestock_label  milk does your household sell"
301.0	"KO"	"milk_sold_income_1"	"How much money does your household make from selling the   livestock_label  milk"
302.0	"KP"	"milk_sold_price_timeunits_1"	"Time unit milk sales"
303.0	"KQ"	"milk_amount_time_units_other_1"	"Specify  other  time units"
304.0	"KR"	"milk_who_sells_1"	"Who usually decides what do to with the income from selling the   livestock_label  milk"
305.0	"KS"	"milk_who_control_eating_1"	"Who usually decides when to eat the   livestock_label  milk"
306.0	"KT"	"eggs_harvest_1"	"Does your household collect eggs from the   livestock_label"
307.0	"KU"	"eggs_amount_good_1"	"How many eggs do the   livestock_label  usually produce  during the good season"
308.0	"KV"	"eggs_units_1"	"Unit of egg production"
309.0	"KW"	"eggs_amount_bad_1"	"How many eggs do the   livestock_label  usually produce  during the bad season"
310.0	"KX"	"eggs_amount_units_other_1"	"Specify  other  eggs production units"
311.0	"KY"	"eggs_use_1"	"What does your household do with the   livestock_label  eggs  Do you consume them  use them in the home  sell them"
312.0	"KZ"	"eggs_consumed_amount_1"	"About how many eggs does your household keep for eating  or home use"
313.0	"LA"	"eggs_sell_amount_1"	"About how many eggs does your household sell"
314.0	"LB"	"eggs_sold_income_1"	"How much money does your household make from selling the   livestock_label  eggs"
315.0	"LC"	"eggs_sold_price_timeunits_1"	"Time unit of egg sales"
316.0	"LD"	"eggs_sold_price_timeunits_other_1"	"Specify  other  time units  "
317.0	"LE"	"eggs_who_sells_1"	"Who usually decides what do to with the income from selling the   livestock_label  eggs"
318.0	"LF"	"eggs_who_control_eating_1"	"Who usually decides when to eat the   livestock_label  eggs"
319.0	"LG"	"bees_honey_production_1"	"How much honey did you collect in in the last 12 months"
320.0	"LH"	"bees_honey_production_units_1"	"Unit of honey production"
321.0	"LI"	"bees_honey_use_1"	"What did you do with the honey  Eat it  sell it"
322.0	"LJ"	"bees_honey_production_units_other_1"	"Specify  other  honey units"
323.0	"LK"	"bees_honey_consumed_amount_1"	"About how honey much was consumed"
324.0	"LL"	"bees_honey_sell_amount_1"	"About how honey much was sold"
325.0	"LM"	"bees_honey_sold_income_1"	"How much money was made from selling the honey"
326.0	"LN"	"bees_who_sells_1"	"Who usually decides what do to with the income from selling the honey"
327.0	"LO"	"bees_who_control_eating_1"	"Who usually decides when to eat the honey"
328.0	"LP"	"livestock_name_2"	"I m going to ask you about each of your most important livestock in turn  Define livestock number   livestock_rep_number"
329.0	"LQ"	"livestock_label_2"	"Livestock name in local language"
330.0	"LR"	"animals_draught_2"	"How many   livestock_label  does your household use for draught power"
331.0	"LS"	"livestock_breeds_2"	"Are they local breeds"
332.0	"LT"	"beehive_count_2"	"How many bee hives does your household have at the moment"
333.0	"LU"	"livestock_housing_2"	"How much time are the   livestock_label  kept inside a pen or stable"
334.0	"LV"	"livestock_bought_2"	"How many   livestock_label  did you buy  or receive  in the last 12 months"
335.0	"LW"	"livestock_sold_2"	"How many live   livestock_label  have you sold in the last 12 months"
336.0	"LX"	"livestock_sale_income_2"	"How much money did you make from selling live   livestock_label  in the last 12 months"
337.0	"LY"	"livestock_ownership_2"	"Who in the household owns the   livestock_label"
338.0	"LZ"	"livestock_who_sells_2"	"Who usually decides what do to with the income from selling the live   livestock_label"
339.0	"MA"	"livestock_died_2"	"Did any of the   livestock_label  die during the last 12 months  How many"
340.0	"MB"	"mortality_meat_use_2"	"What did you do with the meat from the   livestock_label  that died  Eat it  sell it  dispose of it"
341.0	"MC"	"killed_for_meat_2"	"How many   livestock_label  have you slaughtered for meat in the last 12 months"
342.0	"MD"	"meat_use_2"	"What did you do with the meat  Eat it  sell it"
343.0	"ME"	"meat_consumed_amount_2"	"About how much did you eat"
344.0	"MF"	"meat_sell_amount_2"	"About how much did you sell"
